,provider,memory,count,mean,std,min,p50,p99,max
0,aws,256,2031,290.35,18.61,230.05,288.78,356.83,509.6
1,aws,512,2031,287.44,22.84,225.79,285.47,352.71,940.58
2,aws,1024,2030,287.44,18.79,228.74,285.51,357.6,490.96
3,aws,2048,2032,287.32,17.25,213.24,285.6,346.21,546.18
4,flyio,256,7172,1144.08,582.15,775.52,1139.38,2015.18,26544.89
5,flyio,512,2027,1959.35,3752.14,904.97,977.27,21823.79,30318.14
6,flyio,1024,1984,1913.01,1218.67,1094.59,1545.44,5136.43,28245.89
7,flyio,2048,2031,1568.87,1703.98,926.74,1008.95,8074.55,12144.89
8,google,256,2033,601.31,98.83,457.42,597.61,889.7,2724.24
9,google,512,2033,516.98,112.8,439.41,492.04,747.5,2977.39
10,google,1024,2033,537.16,96.84,413.92,510.14,770.95,2621.57
11,google,2048,2032,587.63,102.48,450.56,579.35,817.14,2625.03
